Polarization of Light 'Brewsters' Data File Thu, Oct 25, 2018 10:15 AM
Sensor Position (Degrees)	Light Intensity (Volts)
190.50000	0.00704
190.50000	0.00591
190.50000	-0.00070
190.50000	-0.00070
190.50000	0.00011
190.50000	0.00092
190.50000	-0.00037
190.50000	-0.00070
190.50000	0.00108
190.50000	0.00124
190.50000	0.00140
190.50000	0.00236
190.50000	0.00494
190.50000	0.00929
190.50000	0.00881
190.50000	0.01026
190.50000	0.01106
190.50000	0.00591
190.50000	0.00494
190.50000	0.00108
190.50000	0.00011
190.50000	0.00092
190.50000	0.00059
190.50000	0.00059
190.50000	-0.00102
190.50000	-0.00070
190.50000	-0.00086
190.50000	-0.00021
190.50000	-0.00086
190.50000	-0.00102
190.50000	0.00027
190.50000	0.00027
190.50000	0.00092
190.50000	0.00043
190.50000	0.00092
190.50000	-0.00005
190.50000	-0.00134
190.50000	-0.00037
190.50000	-0.00005
190.50000	0.00317
190.50000	0.00913
190.50000	0.00543
190.50000	0.00543
190.50000	0.00430
190.50000	0.00059
190.50000	-0.00037
190.50000	-0.00134
190.50000	-0.00182
190.50000	-0.00102
190.50000	-0.00053
190.50000	0.00043
190.50000	0.00059
190.50000	-0.00182
190.50000	-0.00134
190.50000	0.00027
190.50000	0.00027
190.50000	0.00027
190.50000	-0.00198
190.50000	-0.00118
190.50000	-0.00070
190.50000	0.00043
190.50000	0.00043
190.50000	0.00285
190.50000	-0.00182
190.50000	-0.00005
190.50000	-0.00102
190.50000	-0.00021
190.50000	-0.00070
190.50000	-0.00086
190.50000	-0.00118
190.50000	-0.00037
190.50000	0.00043
190.50000	-0.00070
190.50000	-0.00070
190.50000	0.00059
190.50000	-0.00134
190.50000	-0.00102
190.50000	-0.00086
190.50000	-0.00037
190.50000	0.00059
190.50000	-0.00134
190.50000	0.00027
190.50000	0.00027
190.50000	-0.00150
190.50000	-0.00005
190.58333	-0.00070
191.65000	-0.00231
192.98333	-0.00134
194.73333	-0.00037
196.36667	-0.00215
197.75000	-0.00053
198.93333	0.00092
200.13333	-0.00102
201.60000	-0.00021
202.80000	-0.00086
202.88333	-0.00102
202.86667	-0.00118
202.81667	-0.00086
202.66667	-0.00182
202.20000	-0.00166
201.75000	-0.00086
201.55000	-0.00037
201.45000	-0.00005
201.41667	-0.00037
201.40000	-0.00037
201.35000	-0.00037
201.20000	-0.00021
201.05000	0.00075
201.01667	0.00075
200.96667	0.00027
200.90000	-0.00118
200.76667	-0.00053
200.71667	-0.00005
200.63333	0.00027
200.50000	-0.00102
200.40000	-0.00070
200.26667	-0.00021
200.25000	-0.00005
200.25000	0.00027
200.25000	-0.00037
200.25000	-0.00150
200.25000	-0.00134
200.25000	-0.00118
200.25000	-0.00086
200.26667	-0.00021
200.26667	-0.00215
200.26667	-0.00053
200.26667	-0.00037
200.26667	-0.00134
200.26667	0.00043
200.26667	0.00027
200.26667	-0.00086
200.26667	-0.00118
200.26667	-0.00037
200.26667	-0.00166
200.26667	-0.00086
200.26667	0.00124
200.26667	-0.00053
200.26667	0.00011
200.26667	-0.00053
200.26667	-0.00118
200.26667	-0.00070
200.26667	-0.00166
200.26667	-0.00134
200.26667	-0.00053
200.26667	-0.00086
200.26667	-0.00053
200.26667	-0.00134
200.26667	0.00108
200.26667	-0.00166
200.26667	0.00092
200.26667	-0.00005
200.26667	-0.00053
200.26667	0.00220
200.26667	0.00494
200.26667	0.00494
200.26667	0.00639
200.26667	0.00285
200.26667	0.00317
200.26667	0.00043
200.26667	-0.00231
200.26667	0.00124
200.26667	0.00027
