Motion Sensor Data File Sep 20	 2018 9:52 AM
Time (s)	Distance (cm)	Dist Error (cm)
5.880	21.348	0.239
5.890	21.203	0.239
5.900	21.063	0.239
5.910	20.935	0.239
5.920	20.841	0.239
5.930	20.778	0.239
5.940	20.728	0.239
5.950	20.712	0.239
5.960	20.713	0.239
5.970	20.744	0.239
5.980	20.784	0.239
5.990	20.846	0.239
6.000	20.928	0.239
6.010	21.050	0.239
6.020	21.176	0.239
6.030	21.319	0.239
6.040	21.488	0.239
6.050	21.665	0.239
6.060	21.877	0.239
6.070	22.085	0.239
6.080	22.309	0.239
6.090	22.543	0.239
6.100	22.798	0.239
6.110	23.048	0.239
6.120	23.299	0.239
6.130	23.554	0.239
6.140	23.817	0.239
6.150	24.068	0.239
6.160	24.310	0.239
6.170	24.552	0.239
6.180	24.798	0.239
6.190	25.014	0.239
6.200	25.222	0.239
6.210	25.416	0.239
6.220	25.607	0.239
6.230	25.767	0.239
6.240	25.910	0.239
6.250	26.032	0.239
6.260	26.145	0.239
6.270	26.223	0.239
6.280	26.280	0.239
6.290	26.312	0.239
6.300	26.334	0.239
6.310	26.322	0.239
6.320	26.285	0.239
6.330	26.230	0.239
6.340	26.146	0.239
6.350	26.057	0.239
6.360	25.933	0.239
6.370	25.788	0.239
6.380	25.626	0.239
6.390	25.455	0.239
6.400	25.259	0.239
6.410	25.049	0.239
6.420	24.822	0.239
6.430	24.600	0.239
6.440	24.356	0.239
6.450	24.104	0.239
6.460	23.851	0.239
6.470	23.607	0.239
6.480	23.350	0.239
6.490	23.094	0.239
6.500	22.841	0.239
6.510	22.606	0.239
6.520	22.366	0.239
6.530	22.139	0.239
6.540	21.921	0.239
6.550	21.725	0.239
6.560	21.537	0.239
6.570	21.362	0.239
6.580	21.204	0.239
6.590	21.072	0.239
6.600	20.966	0.239
6.610	20.872	0.239
6.620	20.800	0.239
6.630	20.750	0.239
6.640	20.738	0.239
6.650	20.735	0.239
6.660	20.758	0.239
6.670	20.798	0.239
6.680	20.876	0.239
6.690	20.963	0.239
6.700	21.072	0.239
6.710	21.202	0.239
6.720	21.362	0.239
6.730	21.531	0.239
6.740	21.709	0.239
6.750	21.899	0.239
6.760	22.107	0.239
6.770	22.323	0.239
6.780	22.548	0.239
6.790	22.786	0.239
6.800	23.040	0.239
6.810	23.291	0.239
6.820	23.546	0.239
6.830	23.796	0.239
6.840	24.055	0.239
6.850	24.302	0.239
6.860	24.540	0.239
6.870	24.764	0.239
6.880	24.976	0.239
6.890	25.188	0.239
6.900	25.366	0.239
6.910	25.530	0.239
6.920	25.673	0.239
6.930	25.821	0.239
6.940	25.938	0.239
6.950	26.029	0.239
6.960	26.108	0.239
6.970	26.182	0.239
6.980	26.222	0.239
6.990	26.236	0.239
7.000	26.220	0.239
7.010	26.191	0.239
7.020	26.124	0.239
7.030	26.039	0.239
7.040	25.928	0.239
7.050	25.809	0.239
7.060	25.660	0.239
7.070	25.493	0.239
7.080	25.305	0.239
7.090	25.121	0.239
7.100	24.908	0.239
7.110	24.694	0.239
7.120	24.476	0.239
7.130	24.228	0.239
7.140	23.997	0.239
7.150	23.748	0.239
7.160	23.496	0.239
7.170	23.239	0.239
7.180	23.000	0.239
7.190	22.747	0.239
7.200	22.508	0.239
7.210	22.272	0.239
7.220	22.059	0.239
7.230	21.849	0.239
7.240	21.648	0.239
