Polarization of Light 'Brewsters' Data File Thu, Oct 25, 2018 10:06 AM
Sensor Position (Degrees)	Light Intensity (Volts)
190.73333	0.00398
190.73333	0.00156
190.73333	-0.00102
190.73333	-0.00247
190.73333	-0.00102
190.73333	-0.00102
190.73333	-0.00118
190.73333	-0.00150
190.73333	0.00027
190.73333	-0.00086
190.73333	-0.00118
190.73333	-0.00263
190.73333	-0.00086
190.73333	0.00510
190.73333	0.06003
190.73333	0.06341
190.73333	0.05810
190.73333	0.07292
190.73333	0.05762
190.73333	-0.00279
190.73333	0.00011
190.73333	0.00059
190.73333	-0.00150
190.73333	-0.00150
190.73333	-0.00021
190.73333	-0.00005
190.73333	-0.00086
190.73333	0.00108
190.73333	0.02443
190.73333	0.06470
190.73333	0.06599
190.73333	0.06245
190.73333	0.00365
190.73333	0.00011
190.73333	-0.00198
190.73333	-0.00118
190.73333	-0.00231
190.73333	-0.00424
190.73333	-0.00263
190.73333	-0.00182
190.73333	-0.00343
190.73333	-0.00053
190.73333	-0.00021
190.73333	0.00236
190.73333	0.00446
190.73333	0.00462
190.73333	0.02041
190.73333	0.05214
190.73333	0.06664
190.73333	0.06921
190.73333	-0.00086
190.73333	-0.00021
190.73333	-0.00053
190.73333	-0.00021
190.73333	-0.00102
190.73333	-0.00070
190.73333	-0.00134
190.73333	-0.00070
190.73333	0.03877
190.73333	0.05407
190.73333	0.00011
190.73333	-0.00198
190.73333	-0.00070
190.73333	-0.00182
190.73333	-0.00102
190.73333	-0.00070
190.73333	-0.00198
190.73333	-0.00086
190.73333	-0.00295
190.73333	-0.00037
190.73333	-0.00198
190.73333	0.00011
190.73333	-0.00102
190.73333	-0.00102
190.73333	0.00301
190.73333	0.01332
190.73333	0.07517
190.73333	-0.00118
190.73333	-0.00005
190.73333	-0.00231
190.73333	-0.00021
190.73333	0.00011
190.73333	-0.00182
190.73333	-0.00037
190.73333	-0.00198
190.73333	0.05536
190.73333	0.06680
190.73333	0.05166
190.73333	0.01300
190.73333	-0.00263
190.73333	-0.00279
190.73333	-0.00360
190.73333	-0.00150
190.73333	-0.00134
190.73333	-0.00134
